chr1,	382.4,	0.982,	199898,	809,	131814,	0.703
chr2,	326.9,	0.983,	199129,	948,	138232,	0.74
chr3,	392.7,	0.98,	171662,	490,	105825,	0.783
chr4,	382.2,	0.98,	180181,	583,	123246,	0.777
chr5,	385.3,	0.976,	163635,	444,	91937,	0.79
chr6,	371.2,	0.978,	165481,	567,	99684,	0.776
chr7,	379.8,	0.977,	156158,	510,	89893,	0.769
chr8,	403.6,	0.982,	137672,	448,	84301,	0.76
chr9,	343.0,	0.978,	118167,	543,	90655,	0.648
chr10,	366.6,	0.981,	129780,	433,	87304,	0.766
chr11,	351.8,	0.971,	117556,	385,	87505,	0.761
chr12,	378.8,	0.983,	118745,	347,	74794,	0.789
chr13,	394.3,	0.982,	89622,	249,	63523,	0.798
chr14,	417.9,	0.973,	84300,	300,	52958,	0.817
chr15,	337.0,	0.975,	76212,	311,	56556,	0.763
chr16,	358.7,	0.978,	84981,	284,	51677,	0.697
chr17,	328.2,	0.972,	72301,	294,	44523,	0.755
chr18,	350.6,	0.988,	65904,	213,	49038,	0.749
chr19,	416.4,	0.983,	63532,	157,	33724,	0.797
chr20,	342.8,	0.978,	58030,	222,	33670,	0.727
chr21,	326.1,	0.973,	38594,	131,	25645,	0.726
chr22,	305.0,	0.97,	37693,	147,	24856,	0.812

Full report:
##Block_i,	Start_pos,	block_length,	num_phased_SNV,	block_quality 
0,	14699,	7496,	41,	NaN
1,	31285,	2745,	21,	NaN
2,	40261,	25611,	100,	NaN
3,	66795,	5226,	13,	NaN
4,	164154,	1056,	3,	NaN
5,	231073,	5648,	12,	NaN
6,	256610,	509,	3,	NaN
7,	391254,	2778,	9,	NaN
8,	420759,	4677,	4,	NaN
9,	468637,	160,	2,	NaN
10,	523475,	4495,	6,	NaN
11,	541850,	885,	2,	NaN
12,	561840,	8338,	83,	1.0
13,	610192,	7484,	10,	NaN
14,	626321,	9480,	9,	NaN
15,	672823,	504,	5,	NaN
16,	704556,	51893,	74,	1.0
17,	786273,	150440,	574,	1.0
18,	951734,	158336,	224,	1.0
19,	1171417,	13636,	30,	1.0
20,	1214821,	29113,	18,	NaN
21,	1259527,	25,	4,	NaN
22,	1292739,	31224,	48,	NaN
23,	1362848,	10487,	9,	NaN
24,	1445157,	77305,	70,	1.0
25,	1537887,	405715,	611,	0.99523
26,	1962105,	311039,	597,	1.0
27,	2295267,	45793,	38,	1.0
28,	2364148,	7992,	6,	NaN
29,	2390927,	2,	2,	NaN
30,	2408661,	182225,	474,	0.98455
31,	2592881,	3876,	42,	NaN
32,	2604580,	2174,	10,	NaN
33,	2614010,	20205,	326,	0.90972
34,	2684547,	109602,	227,	1.0
35,	2838224,	67785,	29,	1.0
36,	2925662,	92089,	187,	1.0
37,	3039148,	23639,	17,	1.0
