##Chromosome,	N50(Kb),	'Avg. phase block quality',	'Number of heterozygous variants',	'Number of non-phased heterozygous variants',	'Number of homozygous variants',	'Phase rate'
chr1,	56412.6,	0.913,	224639,	2354,	171560,	0.901
chr2,	51449.3,	0.95,	222779,	2155,	171959,	0.978
chr3,	46433.4,	0.998,	185347,	1571,	136444,	0.984
chr4,	56910.6,	0.996,	194760,	1546,	152952,	0.982
chr5,	21754.8,	0.999,	177545,	1617,	123663,	0.981
chr6,	25533.8,	0.99,	178902,	1392,	127249,	0.978
chr7,	29548.1,	0.984,	170476,	1496,	129800,	0.974
chr8,	33649.7,	0.99,	152561,	1406,	109728,	0.975
chr9,	21365.4,	0.97,	141528,	2232,	122446,	0.832
chr10,	74145.9,	0.967,	141781,	1331,	110387,	0.965
chr11,	38497.8,	0.997,	130584,	1103,	114178,	0.972
chr12,	71510.8,	0.998,	132212,	1215,	99104,	0.974
chr13,	67739.1,	0.998,	97661,	773,	79481,	0.995
chr14,	68559.5,	0.997,	89155,	857,	68280,	0.999
chr15,	53486.3,	0.984,	83171,	815,	67986,	0.986
chr16,	42000.7,	0.992,	90416,	820,	64846,	0.874
chr17,	17940.6,	0.994,	76391,	752,	55261,	0.955
chr18,	20073.3,	0.996,	71800,	643,	61072,	0.957
chr19,	31386.9,	0.997,	71453,	679,	47298,	0.944
chr20,	24741.2,	0.988,	65660,	559,	42941,	0.946
chr21,	13034.9,	0.99,	40255,	362,	30541,	0.907
chr22,	29753.3,	0.988,	42107,	498,	29615,	0.991

Full report:
chr22,	29753.3,	0.988,	42107,	498,	29615,	0.991
##Block_i,	Start_pos,	block_length,	num_phased_SNV,	block_quality 
0,	16052419,	625950,	1455,	0.96129
1,	16847870,	1864218,	3826,	0.98446
2,	18712732,	1795452,	3667,	0.99615
3,	20610824,	29753274,	32038,	0.99693
4,	50415657,	828525,	1121,	1.0
